beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer,WAHLKREIS,7,1952,m,2,Abercron,Michael,N,E,Pinneberg,1,Schleswig-Holstein,CDU/CSU
Angestellte,LAND,4,1976,w,34,Achelwilm,Doris Maria,N,Z,0,4,Bremen,DIE LINKE
Sozialwissenschaftlerin,LAND,8,1982,w,34,Akbulut,Gökay,N,Z,0,8,Baden-Württemberg,DIE LINKE
MdB / Geschäftsführer,LAND,3,1968,m,2,Albani,Stephan,J,Z,0,3,Niedersachsen,CDU/CSU
MdB / Politologin,LAND,9,1983,w,3,Albsteiger,Katrin,J,Z,0,9,Bayern,CDU/CSU
Bürgermeister,WAHLKREIS,181,1972,m,2,Altenkamp,Norbert Maria,N,E,Main-Taunus,6,Hessen,CDU/CSU
Jurist,WAHLKREIS,297,1958,m,2,Altmaier,Peter,J,E,Saarlouis,10,Saarland,CDU/CSU
Jurist,WAHLKREIS,16,1992,m,2,Amthor,Philipp,N,E,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13,Mecklenburg-Vorpommern,CDU/CSU
MdB / Islamwissenschaftlerin,LAND,1,1984,w,5,Amtsberg,Luise,J,Z,0,1,Schleswig-Holstein,GRÜNE
Dipl.-Volkswirtin,LAND,8,1968,w,5,Andreae,Kerstin,J,Z,0,8,Baden-Württemberg,GRÜNE
MdL / Juristin,LAND,15,1976,w,34,Angern,Eva,N,Z,0,15,Sachsen-Anhalt,DIE LINKE
Historiker,WAHLKREIS,20,1973,m,1,Annen,Niels,J,E,Hamburg-Eimsbüttel,2,Hamburg,SPD
MdB / Dipl.-Kauffrau / Dipl.-Soziologin,LAND,5,1961,w,1,Arndt-Brauer,Ingrid,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB / Landwirtschaftsmeister,WAHLKREIS,241,1963,m,3,Auernhammer,Artur,J,E,Ansbach,9,Bayern,CDU/CSU
Dipl.-Betriebswirt (FH),WAHLKREIS,233,1976,m,3,Aumer,Peter,N,E,Regensburg,9,Bayern,CDU/CSU
Studentin,LAND,9,1990,w,1,Bach,Bela,N,Z,0,9,Bayern,SPD
MdB / Diakonin,LAND,8,1955,w,1,Baehrens,Heike,J,Z,0,8,Baden-Württemberg,SPD
Völkerrechtlerin,LAND,12,1980,w,5,Baerbock,Annalena,J,Z,0,12,Brandenburg,GRÜNE
MdB,LAND,9,1964,w,1,Bahr,Ulrike,J,Z,0,9,Bayern,SPD
MdB,WAHLKREIS,248,1978,w,3,Bär,Dorothee,J,E,Bad Kissingen,9,Bayern,CDU/CSU
Fachärztin für Kinder- und Jugendmedizin,LAND,5,1965,w,1,Baradari,Nezahat,N,Z,0,5,Nordrhein-Westfalen,SPD
MdB,WAHLKREIS,295,1975,m,2,Bareiß,Thomas,J,E,Zollernalb – Sigmaringen,8,Baden-Württemberg,CDU/CSU
MdB / Juristin,LAND,7,1968,w,1,Barley,Katarina,J,Z,0,7,Rheinland-Pfalz,SPD
MdB / Juristin,LAND,7,1953,w,1,Barnett,Doris,J,Z,0,7,Rheinland-Pfalz,SPD
MdB / parl. Staatssekretär,WAHLKREIS,269,1952,m,2,Barthle,Norbert,J,E,Backnang – Schwäbisch Gmünd,8,Baden-Württemberg,CDU/CSU
Jurist,WAHLKREIS,19,1959,m,1,Bartke,Matthias,J,E,Hamburg-Altona,2,Hamburg,SPD
Dipl.-Politologe,WAHLKREIS,171,1974,m,1,Bartol,Sören,J,E,Marburg,6,Hessen,SPD
MdB,LAND,13,1958,m,34,Bartsch,Dietmar Gerhard,J,Z,0,13,Mecklenburg-Vorpommern,DIE LINKE
MdB,WAHLKREIS,115,1968,w,1,Bas,Bärbel,J,E,Duisburg I,5,Nordrhein-Westfalen,SPD
MdL,LAND,9,1959,w,5,Bause,Margarete,N,Z,0,9,Bayern,GRÜNE
