Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Flensburg – Schleswig,38.2,32.6,9.8,5.7,5.0,4.1,4.6
Nordfriesland – Dithmarschen Nord,43.4,29.7,8.1,4.4,6.4,3.8,4.2
Steinburg – Dithmarschen Süd,41.9,30.0,7.6,5.0,6.2,4.4,4.9
Rendsburg-Eckernförde,40.8,31.5,9.3,4.4,5.5,4.4,4.1
Kiel,30.3,34.7,14.1,6.9,5.3,3.7,5.0
Plön – Neumünster,38.8,32.7,9.2,4.8,5.4,4.7,4.4
Pinneberg,40.6,31.2,8.6,5.0,5.6,4.8,4.2
Segeberg – Stormarn-Mitte,40.8,30.1,8.6,5.0,5.8,5.0,4.7
Ostholstein – Stormarn-Nord,41.2,31.5,8.0,4.3,6.2,5.0,3.8
Herzogtum Lauenburg – Stormarn-Süd,40.6,29.7,9.1,4.9,6.0,5.6,4.1
Lübeck,34.2,34.1,11.1,6.5,4.8,4.3,5.0
Schleswig-Holstein,39.2,31.5,9.4,5.2,5.6,4.6,4.5
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,40.3,21.6,4.5,20.4,2.3,5.3,5.6
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,42.1,19.7,4.0,21.3,2.2,5.3,5.4
Rostock – Landkreis Rostock II,37.9,19.2,6.5,23.7,1.9,5.4,5.4
Vorpommern-Rügen – Vorpommern-Greifswald I,45.0,14.6,4.8,20.6,2.6,6.6,5.8
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,44.9,14.8,2.7,21.6,2.0,6.0,8.0
Mecklenburgische Seenplatte II – Landkreis Rostock III,45.1,17.2,3.3,21.5,2.1,5.1,5.7
Mecklenburg-Vorpommern,42.5,17.8,4.3,21.5,2.2,5.6,6.1
Hamburg-Mitte,26.8,33.6,13.6,11.0,3.8,4.3,6.9
Hamburg-Altona,29.4,29.8,16.5,10.8,5.5,3.2,4.8
Hamburg-Eimsbüttel,31.1,31.4,15.6,8.6,5.2,3.7,4.4
Hamburg-Nord,36.5,30.2,12.5,6.5,6.3,4.1,3.9
Hamburg-Wandsbek,34.5,34.5,9.1,7.7,4.5,4.8,4.9
Hamburg-Bergedorf – Harburg,33.8,35.0,9.2,8.4,3.5,4.7,5.4
Hamburg,32.1,32.4,12.7,8.8,4.8,4.2,5.0
Aurich – Emden,32.5,43.8,8.3,5.0,3.3,3.1,4.0
Unterems,48.8,30.9,5.8,4.1,4.0,2.9,3.5
Friesland – Wilhelmshaven – Wittmund,38.4,36.3,7.3,5.1,4.3,4.1,4.5
Oldenburg – Ammerland,35.2,32.6,12.4,6.5,5.1,4.2,4.0
Delmenhorst – Wesermarsch – Oldenburg-Land,38.9,34.1,8.1,5.5,5.0,4.0,4.4
Cuxhaven – Stade II,43.9,33.5,7.1,4.6,3.6,3.5,3.8
Stade I – Rotenburg II,44.7,30.9,7.8,4.2,4.2,4.5,3.7
Mittelems,56.1,26.0,5.4,3.0,4.2,2.6,2.7
Cloppenburg – Vechta,63.2,19.8,4.3,2.8,4.6,2.3,3.0
Diepholz – Nienburg I,43.5,31.5,8.2,4.5,4.9,3.4,4.0
Osterholz – Verden,40.0,33.1,9.6,5.6,3.7,3.8,4.2
