Wahlkreis,CDU/CSU,SPD,GRÜNE,DIE LINKE,FDP,AfD,Sonstige
Flensburg – Schleswig,61347.0,52396.0,15734.0,9084.0,8065.0,6563.0,7447.0
Nordfriesland – Dithmarschen Nord,56383.0,38590.0,10547.0,5733.0,8321.0,4994.0,5476.0
Steinburg – Dithmarschen Süd,52408.0,37502.0,9485.0,6286.0,7689.0,5492.0,6096.0
Rendsburg-Eckernförde,60349.0,46658.0,13707.0,6447.0,8126.0,6500.0,6180.0
Kiel,43893.0,50262.0,20394.0,10023.0,7708.0,5379.0,7310.0
Plön – Neumünster,48683.0,41094.0,11577.0,5987.0,6722.0,5901.0,5609.0
Pinneberg,72006.0,55371.0,15291.0,8910.0,9863.0,8479.0,7453.0
Segeberg – Stormarn-Mitte,74161.0,54691.0,15695.0,9112.0,10449.0,9034.0,8448.0
Ostholstein – Stormarn-Nord,53705.0,41134.0,10490.0,5663.0,8036.0,6471.0,4988.0
Herzogtum Lauenburg – Stormarn-Süd,73603.0,53944.0,16579.0,8962.0,10878.0,10210.0,7246.0
Lübeck,42218.0,42083.0,13638.0,7970.0,5857.0,5323.0,6182.0
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,59028.0,31543.0,6526.0,29838.0,3298.0,7729.0,8375.0
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,56975.0,26664.0,5460.0,28834.0,3011.0,7145.0,7238.0
Rostock – Landkreis Rostock II,57188.0,29010.0,9874.0,35792.0,2911.0,8196.0,7803.0
Vorpommern-Rügen – Vorpommern-Greifswald I,69683.0,22630.0,7372.0,31930.0,4067.0,10159.0,9135.0
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,65767.0,21603.0,4010.0,31658.0,2910.0,8850.0,11562.0
Mecklenburgische Seenplatte II – Landkreis Rostock III,60407.0,22981.0,4474.0,28819.0,2771.0,6806.0,7711.0
Hamburg-Mitte,41422.0,51971.0,21043.0,17071.0,5940.0,6707.0,10415.0
Hamburg-Altona,39581.0,40009.0,22167.0,14525.0,7353.0,4321.0,6508.0
Hamburg-Eimsbüttel,43989.0,44492.0,22074.0,12137.0,7308.0,5197.0,6443.0
Hamburg-Nord,59244.0,49039.0,20357.0,10615.0,10242.0,6721.0,6220.0
Hamburg-Wandsbek,54166.0,54089.0,14269.0,12131.0,7074.0,7572.0,7701.0
Hamburg-Bergedorf – Harburg,47525.0,49302.0,12916.0,11817.0,4952.0,6624.0,7580.0
Aurich – Emden,43026.0,58080.0,11028.0,6588.0,4323.0,4136.0,5351.0
Unterems,80616.0,51079.0,9506.0,6771.0,6537.0,4870.0,5935.0
Friesland – Wilhelmshaven – Wittmund,50796.0,48011.0,9731.0,6814.0,5670.0,5479.0,5901.0
Oldenburg – Ammerland,57067.0,52856.0,20170.0,10523.0,8210.0,6833.0,6482.0
