"id","titel","namenszusatz","nachname_ohne","nachname","vorname","geschlecht","geburtsjahr","alter","wohnort","geburtsort","beruf","berufsgruppe","bundesland","wahlkreis_id","wahlkreis_name","partei","partei_lang","liste_bundesland_land","liste_partei","liste_partei_lang","liste_platz","mdb","lat","lng","id_eigen","foto","scatter_x","scatter_y","color"
,,,"Ducke","Ducke","Kai-Uwe","M",1975,42,"Berlin","Crimmitschau","Fachinformatiker","IT-Fachleute","BE",76,"Berlin-Pankow","BüSo","Bürgerrechtsbewegung Solidarität","SL","BüSo","Bürgerrechtsbewegung Solidarität",5,,50.8173491,12.3906771,"kai-uwe-ducke",,,,"grey"
,,,"Herrlinger","Herrlinger","Siegmar","M",1952,65,"Kornwestheim","Birkenfeld","IT-Spezialist für Medientechnik","IT-Fachleute","BW",266,"Neckar-Zaber","MLPD","Marxistisch-Leninistische Partei Deutschlands",,,,,,49.6512438,7.1631611,"siegmar-herrlinger",,,,"grey"
,"Dr.",,"Schulte-Wissermann","Schulte-Wissermann","Martin","M",1971,46,"Dresden","Mainz","Physiker","naturwissenschaftliche Berufe","SN",160,"Dresden II – Bautzen II","PIRATEN","Piratenpartei Deutschland","SL","PIRATEN","Piratenpartei Deutschland",4,,49.9928617,8.2472526,"martin-schulte-wissermann",,,,"grey"
,,,"Klis","Klis","Peter","M",1956,61,"Waldshut-Tiengen","Staufenberg","Rentner","Rentner/Pensionäre","HE",173,"Gießen","Einzelbewerber","Überparteilich! Mit gutem Beispiel voran: www.eidesstattliches-wahlversprechen.de",,,,,,50.6604624,8.7362272,"peter-klis",,,,"grey"
,,,"Hahn","Hahn","Leon","M",1991,26,"Friedrichshafen","Salem","Wirtschaftswissenschaftler","Wirtschaftswissenschaftler","BW",293,"Bodensee","SPD","Sozialdemokratische Partei Deutschlands","RP","SPD","Sozialdemokratische Partei Deutschlands",47.769259,9.290195,,,"spd_hahn_leon_btw_s_7535_100srgb.jpg",,,,"#ff0000"
,,,"Deutsch","Deutsch","Paul","M",1951,66,"Braunschweig","Bergen","Maschinenschlosser","Facharbeiter","NI",50,"Braunschweig","MLPD","Marxistisch-Leninistische Partei Deutschlands",,,,,,60.3912628,5.3220544,"paul-deutsch",,,,"grey"
,,,"Klingen","Klingen","Christian Herbert","M",1965,52,"Markt Einersheim","Würzburg","Dipl.-Verwaltungswirt (FH)","Verwaltungsfachleute","BY",250,"Schweinfurt","AfD","Alternative für Deutschland",,,,,,49.7913044,9.9533548,"christian herbert-klingen",,,,"#0066cc"
,,,"Niegisch","Niegisch","Joachim","M",1959,58,"Gelsenkirchen","Bremerhaven","Lagerarbeiter","Facharbeiter","HB",55,"Bremen II – Bremerhaven","MLPD","Marxistisch-Leninistische Partei Deutschlands","HB","MLPD","Marxistisch-Leninistische Partei Deutschlands",7,,53.5395845,8.5809425,"joachim-niegisch",,,,"grey"
,,,"Felde-Bajerowitz","Felde-Bajerowitz","Gregor","M",1968,49,"Berlin","Berlin","Künstler","Kultur und Kunst","BE",83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost","Einzelbewerber","GROG",,,,,,52.5200066,13.404954,"gregor-felde-bajerowitz",,,,"grey"
,,,"Müller","Müller","Hansjörg Gerhard Georg","M",1968,49,"Ainring","Treuchtlingen","selbst. Interimmanager","Selbsständige","BY",225,"Traunstein","AfD","Alternative für Deutschland","BY","AfD","Alternative für Deutschland",6,,48.9595158,10.9096442,"hansjörg gerhard georg-müller",,,,"#0066cc"
,,,"Matheis","Matheis","Ralf","M",1969,48,"Reutlingen","Brackenheim","Fachinformatiker","IT-Fachleute","BW",289,"Reutlingen","Einzelbewerber","parteilos",,,,,,49.0808636,9.0703137,"ralf-matheis",,,,"grey"
,,,"Thannheiser","Thannheiser","Heinz Franz Paul","M",1938,79,"Starnberg","München","Rechtsanwalt","Juristen","BY",224,"Starnberg – Landsberg am Lech","BP","Bayernpartei","BY","BP","Bayernpartei",30,,48.1351253,11.5819805,"heinz franz paul-thannheiser",,,,"grey"
