titel,nachname,vorname,geschlecht,geburtsjahr,alter,beruf,bundesland,wahlkreis_name,partei,partei_lang
,Ducke,Kai-Uwe,M,1975,42,Fachinformatiker,Berlin,Berlin-Pankow,Other,Bürgerrechtsbewegung Solidarität
,Herrlinger,Siegmar,M,1952,65,IT-Spezialist für Medientechnik,Baden-Württemberg,Neckar-Zaber,Other,Marxistisch-Leninistische Partei Deutschlands
Dr.,Schulte-Wissermann,Martin,M,1971,46,Physiker,Sachsen,Dresden II – Bautzen II,Other,Piratenpartei Deutschland
,Klis,Peter,M,1956,61,Rentner,Hessen,Gießen,Other,Überparteilich! Mit gutem Beispiel voran: www.eidesstattliches-wahlversprechen.de
,Hahn,Leon,M,1991,26,Wirtschaftswissenschaftler,Baden-Württemberg,Bodensee,SPD,Sozialdemokratische Partei Deutschlands
,Deutsch,Paul,M,1951,66,Maschinenschlosser,Niedersaschsen,Braunschweig,Other,Marxistisch-Leninistische Partei Deutschlands
,Klingen,Christian Herbert,M,1965,52,Dipl.-Verwaltungswirt (FH),Bayern,Schweinfurt,AfD,Alternative für Deutschland
,Niegisch,Joachim,M,1959,58,Lagerarbeiter,Bremen,Bremen II – Bremerhaven,Other,Marxistisch-Leninistische Partei Deutschlands
,Felde-Bajerowitz,Gregor,M,1968,49,Künstler,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Other,GROG
,Müller,Hansjörg Gerhard Georg,M,1968,49,selbst. Interimmanager,Bayern,Traunstein,AfD,Alternative für Deutschland
,Matheis,Ralf,M,1969,48,Fachinformatiker,Baden-Württemberg,Reutlingen,Other,parteilos
,Thannheiser,Heinz Franz Paul,M,1938,79,Rechtsanwalt,Bayern,Starnberg – Landsberg am Lech,Other,Bayernpartei
,Miehlke,Eckhard,M,1943,74,Maurer,Thüringen,Gotha – Ilm-Kreis,Other,Friedrich der 21.
,Kühne,Henner,M,1959,58,ltd. Angestellter,Hamburg,Hamburg-Mitte,Other,FREIE WÄHLER
,Jakupak,Markus,M,1994,23,Student Politikwissenschaften und Geschichte,Schleswig-Holstein,Kiel,Other,Neue Liberale – Die Sozialliberalen
,Zahn,Friedrich,M,1952,65,Lehrer i. R.,Baden-Württemberg,Schwäbisch Hall – Hohenlohe,Other,Ökologisch-Demokratische Partei
,Schmidt,Aaron Bastian,M,1974,43,päd. Mitarbeiter,Rheinland-Pfalz,Pirmasens,Other,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
,Erdogan,Abuzar Can,M,1993,24,Jurist,Bayern,Rosenheim,SPD,Sozialdemokratische Partei Deutschlands
,Bertram,Achim Oliver,M,1971,46,Dipl.-Betriebswirt (FH) / Bankkaufmann,Rheinland-Pfalz,Kaiserslautern,FDP,Freie Demokratische Partei
,Czylwick,Achim,M,1954,63,Drucker,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis II,Other,Marxistisch-Leninistische Partei Deutschlands
,Langer,Achim Gert,M,1961,56,Musiker,Bremen,Bremen II – Bremerhaven,Other,Menschliche Welt
Dr.,Kessler,Achim Dieter,M,1964,53,Angestellter,Hessen,Frankfurt am Main I,DIE LINKE,DIE LINKE
,Köhler,Achim,M,1964,53,Angestellter im ö. D.,Baden-Württemberg,Rhein-Neckar,AfD,Alternative für Deutschland
,Post,Achim,M,1959,58,Dipl.-Soziologe,Nordrhein-Westfalen,Minden-Lübbecke I,SPD,Sozialdemokratische Partei Deutschlands
,Postert,Achim,M,1958,59,Dipl.-Ingenieur,Niedersaschsen,Friesland – Wilhelmshaven – Wittmund,AfD,Alternative für Deutschland
,Assenmacher,Adrian,M,1989,28,wiss. Mitarbeiter,Rheinland-Pfalz,Trier,FDP,Freie Demokratische Partei
