beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer,WAHLKREIS,7,1952,m,2,Abercron,von,Dr.,Michael,N,E,Pinneberg,1.0,,CDU/CSU
Angestellte,LAND,4,1976,w,34,Achelwilm,0,0,Doris Maria,N,Z,0,4.0,,Die Linke
Vermögensverwalter,LAND,3,1965,m,4,Aggelidis,0,0,Grigorios,N,Z,0,3.0,,FDP
Sozialwissenschaftlerin,LAND,8,1982,w,34,Akbulut,0,0,Gökay,N,Z,0,8.0,,Die Linke
MdB / Geschäftsführer,LAND,3,1968,m,2,Albani,0,0,Stephan,J,Z,0,3.0,,CDU/CSU
Chemieingenieurin,LAND,8,1965,w,4,Alt,0,0,Renata,N,Z,0,8.0,,FDP
Bürgermeister,WAHLKREIS,181,1972,m,2,Altenkamp,0,0,Norbert Maria,N,E,Main-Taunus,6.0,,CDU/CSU
Jurist,WAHLKREIS,297,1958,m,2,Altmaier,0,0,Peter,J,E,Saarlouis,10.0,,CDU/CSU
Jurist,WAHLKREIS,16,1992,m,2,Amthor,0,0,Philipp,N,E,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,13.0,,CDU/CSU
MdB / Islamwissenschaftlerin,LAND,1,1984,w,5,Amtsberg,0,0,Luise,J,Z,0,1.0,,Grüne
Dipl.-Volkswirtin,LAND,8,1968,w,5,Andreae,0,0,Kerstin,J,Z,0,8.0,,Grüne
Historiker,WAHLKREIS,20,1973,m,1,Annen,0,0,Niels,J,E,Hamburg-Eimsbüttel,2.0,,SPD
MdB / Dipl.-Kauffrau / Dipl.-Soziologin,LAND,5,1961,w,1,Arndt-Brauer,0,0,Ingrid,J,Z,0,5.0,,SPD
Rechtsanwältin,LAND,1,1959,w,4,Aschenberg-Dugnus,0,0,Christine,N,Z,0,1.0,,FDP
MdB / Landwirtschaftsmeister,WAHLKREIS,241,1963,m,3,Auernhammer,0,0,Artur,J,E,Ansbach,9.0,,CDU/CSU
Dipl.-Betriebswirt (FH),WAHLKREIS,233,1976,m,3,Aumer,0,0,Peter,N,E,Regensburg,9.0,,CDU/CSU
Politikwissenschaftlerin,LAND,9,1983,w,5,Badum,0,0,Lisa Hildegard,N,Z,0,9.0,,Grüne
MdB / Diakonin,LAND,8,1955,w,1,Baehrens,0,0,Heike,J,Z,0,8.0,,SPD
Völkerrechtlerin,LAND,12,1980,w,5,Baerbock,0,0,Annalena,J,Z,0,12.0,,Grüne
MdB,LAND,9,1964,w,1,Bahr,0,0,Ulrike,J,Z,0,9.0,,SPD
MdB,WAHLKREIS,248,1978,w,3,Bär,0,0,Dorothee,J,E,Bad Kissingen,9.0,,CDU/CSU
MdB,WAHLKREIS,295,1975,m,2,Bareiß,0,0,Thomas,J,E,Zollernalb – Sigmaringen,8.0,,CDU/CSU
MdB / Juristin,LAND,7,1968,w,1,Barley,0,Dr.,Katarina,J,Z,0,7.0,,SPD
MdB / Juristin,LAND,7,1953,w,1,Barnett,0,0,Doris,J,Z,0,7.0,,SPD
Verlegerin,LAND,9,1963,w,34,Barrientos Krauss,0,0,Simone,N,Z,0,9.0,,Die Linke
MdB / parl. Staatssekretär,WAHLKREIS,269,1952,m,2,Barthle,0,0,Norbert,J,E,Backnang – Schwäbisch Gmünd,8.0,,CDU/CSU
