Wahlkreis,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Flensburg – Schleswig,68235.0,59718.0,12491.0,7436.0,3039.0,5234.0,4373.0
Nordfriesland – Dithmarschen Nord,64678.0,41714.0,8465.0,4653.0,3172.0,3973.0,3224.0
Steinburg – Dithmarschen Süd,56669.0,42476.0,6386.0,4909.0,6324.0,4468.0,3654.0
Rendsburg-Eckernförde,66775.0,54397.0,10306.0,4902.0,2754.0,5084.0,3622.0
Kiel,47925.0,62271.0,14435.0,7622.0,3069.0,4040.0,5416.0
Plön – Neumünster,54833.0,47085.0,7979.0,4708.0,2322.0,4837.0,3648.0
Pinneberg,80483.0,64006.0,11324.0,6985.0,3303.0,6766.0,4485.0
Segeberg – Stormarn-Mitte,82471.0,63998.0,11141.0,7003.0,3722.0,6879.0,6301.0
Ostholstein – Stormarn-Nord,59783.0,48349.0,7145.0,4469.0,2962.0,4897.0,2783.0
Herzogtum Lauenburg – Stormarn-Süd,81954.0,62749.0,12774.0,6834.0,3901.0,8351.0,4711.0
Lübeck,44896.0,50119.0,9475.0,6662.0,2958.0,4152.0,4886.0
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,56912.0,37832.0,5194.0,32373.0,2253.0,0.0,11401.0
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,57971.0,30743.0,4652.0,30843.0,2127.0,0.0,8619.0
Rostock – Landkreis Rostock II,52661.0,27498.0,11216.0,46160.0,1606.0,0.0,11010.0
Vorpommern-Rügen – Vorpommern-Greifswald I,87142.0,21688.0,4728.0,29847.0,1227.0,0.0,10303.0
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,67069.0,22870.0,3359.0,34972.0,2695.0,0.0,15131.0
Mecklenburgische Seenplatte II – Landkreis Rostock III,62852.0,25029.0,4083.0,30284.0,1983.0,0.0,9411.0
Hamburg-Mitte,43120.0,60537.0,18529.0,14821.0,2640.0,5135.0,9595.0
Hamburg-Altona,43609.0,46918.0,18380.0,13759.0,2627.0,3094.0,6016.0
Hamburg-Eimsbüttel,47112.0,53105.0,18399.0,9728.0,3264.0,4034.0,5796.0
Hamburg-Nord,64459.0,56421.0,19343.0,7626.0,3921.0,5708.0,4806.0
Hamburg-Wandsbek,57635.0,62489.0,10734.0,10466.0,3021.0,6416.0,6075.0
Hamburg-Bergedorf – Harburg,50044.0,56867.0,9088.0,10595.0,2234.0,5448.0,6339.0
Aurich – Emden,42737.0,66348.0,12627.0,6373.0,2085.0,0.0,1869.0
Unterems,90236.0,51409.0,8441.0,6426.0,4288.0,0.0,4063.0
Friesland – Wilhelmshaven – Wittmund,52275.0,58178.0,7362.0,6736.0,3024.0,0.0,4218.0
Oldenburg – Ammerland,59525.0,60547.0,18552.0,8794.0,3966.0,5502.0,4909.0
Delmenhorst – Wesermarsch – Oldenburg-Land,63832.0,63256.0,9784.0,7273.0,5263.0,5292.0,5939.0
Cuxhaven – Stade II,63431.0,49395.0,8326.0,4904.0,1872.0,4034.0,3699.0
Stade I – Rotenburg II,68545.0,49111.0,9099.0,4878.0,2505.0,5632.0,4200.0
Mittelems,99705.0,48903.0,8393.0,4543.0,2673.0,3777.0,879.0
Cloppenburg – Vechta,101015.0,32422.0,5702.0,3821.0,2812.0,3238.0,3343.0
Diepholz – Nienburg I,66862.0,47067.0,10651.0,4933.0,2797.0,3571.0,4973.0
Osterholz – Verden,63174.0,53660.0,9729.0,7195.0,1359.0,4499.0,3805.0
Rotenburg I – Heidekreis,54448.0,49301.0,6026.0,4758.0,2097.0,0.0,4876.0
Harburg,68458.0,47908.0,10754.0,5472.0,5110.0,8704.0,4997.0
Lüchow-Dannenberg – Lüneburg,52644.0,44491.0,15918.0,7784.0,2112.0,4925.0,4325.0
Osnabrück-Land,76179.0,46365.0,8330.0,5162.0,2546.0,0.0,4881.0
Stadt Osnabrück,64416.0,49059.0,12568.0,5840.0,3934.0,0.0,5104.0
Nienburg II – Schaumburg,58349.0,62641.0,8173.0,4649.0,1950.0,0.0,4547.0
Stadt Hannover I,46650.0,55711.0,9876.0,6435.0,1889.0,4051.0,3367.0
Stadt Hannover II,47180.0,59686.0,14229.0,8657.0,2050.0,3802.0,3740.0
Hannover-Land I,77509.0,67440.0,8735.0,6220.0,4504.0,5393.0,5212.0
Celle – Uelzen,75369.0,53237.0,9563.0,5655.0,2091.0,6591.0,2990.0
Gifhorn – Peine,67368.0,69259.0,7666.0,6810.0,2266.0,0.0,6784.0
Hameln-Pyrmont – Holzminden,53726.0,57484.0,8202.0,6308.0,2496.0,4971.0,2577.0
Hannover-Land II,75761.0,78433.0,9422.0,7350.0,2567.0,0.0,7363.0
Hildesheim,68653.0,66986.0,13771.0,7909.0,2489.0,0.0,2537.0
Salzgitter – Wolfenbüttel,55720.0,70080.0,6630.0,6524.0,1582.0,4548.0,5307.0
Braunschweig,49710.0,61952.0,10117.0,7119.0,3243.0,3894.0,6068.0
Helmstedt – Wolfsburg,58760.0,50826.0,6666.0,5731.0,1839.0,0.0,7520.0
Goslar – Northeim – Osterode,61723.0,62209.0,7833.0,6805.0,2249.0,0.0,6011.0
Göttingen,62558.0,66192.0,16740.0,8581.0,2633.0,0.0,7136.0
Bremen I,55198.0,69161.0,25342.0,15186.0,4171.0,5336.0,7990.0
Bremen II – Bremerhaven,42067.0,64276.0,12325.0,13335.0,2189.0,5428.0,6807.0
Prignitz – Ostprignitz-Ruppin – Havelland I,37520.0,33293.0,3123.0,27179.0,1454.0,0.0,10013.0
