Wahlkreis,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Flensburg – Schleswig,42.5,37.2,7.8,4.6,1.9,3.3,2.7
Nordfriesland – Dithmarschen Nord,49.8,32.1,6.5,3.6,2.4,3.1,2.5
Steinburg – Dithmarschen Süd,45.4,34.0,5.1,3.9,5.1,3.6,2.9
Rendsburg-Eckernförde,45.2,36.8,7.0,3.3,1.9,3.4,2.4
Kiel,33.1,43.0,10.0,5.3,2.1,2.8,3.7
Plön – Neumünster,43.7,37.5,6.4,3.8,1.9,3.9,2.8
Pinneberg,45.4,36.1,6.4,3.9,1.9,3.8,2.5
Segeberg – Stormarn-Mitte,45.4,35.3,6.1,3.9,2.1,3.8,3.4
Ostholstein – Stormarn-Nord,45.9,37.1,5.5,3.4,2.3,3.8,2.0
Herzogtum Lauenburg – Stormarn-Süd,45.2,34.6,7.0,3.8,2.2,4.6,2.6
Lübeck,36.5,40.7,7.7,5.4,2.4,3.4,3.9
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,39.0,25.9,3.6,22.2,1.5,0.0,7.8
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,43.0,22.8,3.4,22.9,1.6,0.0,6.3
Rostock – Landkreis Rostock II,35.1,18.3,7.5,30.7,1.1,0.0,7.3
Vorpommern-Rügen – Vorpommern-Greifswald I,56.2,14.0,3.1,19.3,0.8,0.0,6.6
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,45.9,15.7,2.3,23.9,1.8,0.0,10.4
Mecklenburgische Seenplatte II – Landkreis Rostock III,47.0,18.7,3.1,22.7,1.5,0.0,7.0
Hamburg-Mitte,27.9,39.2,12.0,9.6,1.7,3.3,6.3
Hamburg-Altona,32.4,34.9,13.7,10.2,2.0,2.3,4.5
Hamburg-Eimsbüttel,33.3,37.5,13.0,6.9,2.3,2.9,4.1
Hamburg-Nord,39.7,34.8,11.9,4.7,2.4,3.5,3.0
Hamburg-Wandsbek,36.7,39.8,6.8,6.7,1.9,4.1,4.0
Hamburg-Bergedorf – Harburg,35.6,40.4,6.5,7.5,1.6,3.9,4.5
Aurich – Emden,32.4,50.2,9.6,4.8,1.6,0.0,1.4
Unterems,54.7,31.2,5.1,3.9,2.6,0.0,2.5
Friesland – Wilhelmshaven – Wittmund,39.7,44.1,5.6,5.1,2.3,0.0,3.2
Oldenburg – Ammerland,36.8,37.4,11.5,5.4,2.5,3.4,3.0
Delmenhorst – Wesermarsch – Oldenburg-Land,39.7,39.4,6.1,4.5,3.3,3.3,3.7
Cuxhaven – Stade II,46.8,36.4,6.1,3.6,1.4,3.0,2.7
Stade I – Rotenburg II,47.6,34.1,6.3,3.4,1.7,3.9,3.0
Mittelems,59.0,29.0,5.0,2.7,1.6,2.2,0.5
Cloppenburg – Vechta,66.3,21.3,3.7,2.5,1.8,2.1,2.3
Diepholz – Nienburg I,47.5,33.4,7.6,3.5,2.0,2.5,3.5
Osterholz – Verden,44.0,37.4,6.8,5.0,0.9,3.1,2.8
Rotenburg I – Heidekreis,44.8,40.6,5.0,3.9,1.7,0.0,4.0
Harburg,45.2,31.6,7.1,3.6,3.4,5.7,3.4
Lüchow-Dannenberg – Lüneburg,39.8,33.7,12.0,5.9,1.6,3.7,3.3
Osnabrück-Land,53.1,32.3,5.8,3.6,1.8,0.0,3.4
Stadt Osnabrück,45.7,34.8,8.9,4.1,2.8,0.0,3.7
Nienburg II – Schaumburg,41.6,44.6,5.8,3.3,1.4,0.0,3.3
Stadt Hannover I,36.5,43.5,7.7,5.0,1.5,3.2,2.6
Stadt Hannover II,33.9,42.8,10.2,6.2,1.5,2.7,2.7
Hannover-Land I,44.3,38.5,5.0,3.6,2.6,3.1,2.9
Celle – Uelzen,48.5,34.2,6.1,3.6,1.3,4.2,2.1
Gifhorn – Peine,42.1,43.2,4.8,4.3,1.4,0.0,4.2
Hameln-Pyrmont – Holzminden,39.6,42.3,6.0,4.6,1.8,3.7,2.0
Hannover-Land II,41.9,43.4,5.2,4.1,1.4,0.0,4.0
Hildesheim,42.3,41.3,8.5,4.9,1.5,0.0,1.5
Salzgitter – Wolfenbüttel,37.1,46.6,4.4,4.3,1.1,3.0,3.5
Braunschweig,35.0,43.6,7.1,5.0,2.3,2.7,4.3
Helmstedt – Wolfsburg,44.7,38.7,5.1,4.4,1.4,0.0,5.7
Goslar – Northeim – Osterode,42.0,42.4,5.3,4.6,1.5,0.0,4.2
