Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Bundesgebiet,18165446.0,11252215.0,3694057.0,3755699.0,2083533.0,2056985.0,2718921.0
Schleswig-Holstein,638756.0,513725.0,153137.0,84177.0,91714.0,74346.0,72435.0
Mecklenburg-Vorpommern,369048.0,154431.0,37716.0,186871.0,18968.0,48885.0,51824.0
Hamburg,285927.0,288902.0,112826.0,78296.0,42869.0,37142.0,44867.0
Niedersachsen,1825592.0,1470005.0,391901.0,223935.0,185647.0,165875.0,182305.0
Bremen,96459.0,117204.0,40014.0,33284.0,11204.0,12307.0,18940.0
Brandenburg,482601.0,321174.0,65182.0,311312.0,35365.0,83075.0,89653.0
Sachsen-Anhalt,485781.0,214731.0,46858.0,282319.0,30998.0,49661.0,68467.0
Berlin,508643.0,439387.0,220737.0,330507.0,63616.0,88060.0,136771.0
Nordrhein-Westfalen,3776563.0,3028282.0,760642.0,582925.0,498027.0,372258.0,479460.0
Sachsen,994601.0,340819.0,113916.0,467045.0,71259.0,157781.0,187231.0
Hessen,1232994.0,906906.0,313135.0,188654.0,175144.0,176319.0,154939.0
Thüringen,477283.0,198714.0,60511.0,288615.0,32101.0,76013.0,98456.0
Rheinland-Pfalz,958655.0,608910.0,169372.0,120338.0,122640.0,106414.0,128168.0
Bayern,3243569.0,1314009.0,552818.0,248920.0,334158.0,283570.0,603711.0
Baden-Württemberg,2576606.0,1160424.0,623294.0,272456.0,348317.0,295988.0,364934.0
Saarland,212368.0,174592.0,31998.0,56045.0,21506.0,29291.0,36760.0
